('Goiaba vermelha com casca', 100, 1.08, 0, 13.00, 6.22, 4.45, 0.17, 0, 54.16, 3),
('Graviola', 100, 0.84, 0, 15.83, 1.90, 40.11, 0.16, 4.16, 61.62, 3),
('Polpa de graviola congelada', 100, 0.56, 0, 9.78, 1.18, 5.97, 0.10, 3.04, 38.27, 3),
('Jabuticaba', 100, 0.61, 0, 15.25, 2.29, 8.34, 0.09, 0, 58.05, 3),
('Jaca', 100, 1.40, 0, 22.49, 2.38, 11.24, 0.38, 1.80, 87.92, 3),
('Jambo', 100, 0.88, 0, 6.49, 5.07, 13.8, 0.13, 21.65, 26.91, 3),
('Jamelão', 100, 0.54, 0, 10.62, 1.77, 3.09, 0.04, 1.36, 41.00, 3),
('Kiwi', 100, 1.33, 0, 11.49, 2.65, 23.91, 0.25, 0, 51.13, 3),
('Laranja-baía', 100, 0.97, 0, 11.46, 1.12, 35.40, 0.13, 0, 45.43, 3),
('Suco de laranja baía', 100, 0.65, 0, 8.69, 0, 5.92, 0.06, 0, 36.64, 3),
('Laranja da terra', 100, 1.07, 0, 12.86, 3.97, 51.08, 0.14, 0.83, 51.47, 3),
('Suco de laranja da terra', 100, 0.66, 0, 9.57, 1.03, 13.38, 0.08, 0, 40.95, 3),
('Laranja lima', 100, 1.05, 0, 11.53, 1.78, 31.46, 0.12, 1.11, 49.70, 3),
('Suco de laranja lima', 100, 0.71, 0, 9.16, 0.42, 7.73, 0, 0, 39.33, 3),
('Laranja pêra', 100, 1.04, 0, 8.94, 0.76, 21.88, 0.09, 0, 36.77, 3),
('Suco de laranja pêra', 100, 0.73, 0, 7.55, 0, 7.36, 0, 0, 32.70, 3),
('Laranja valência', 100, 0.76, 0, 11.72, 1.72, 33.73, 0.09, 0.62, 46.10, 3),
('Suco de laranja valência', 100, 0.48, 0, 8.55, 0.42, 9.07, 0, 0, 36.19, 3),
('Suco de limão cravo', 100, 0.32, 0, 5.24, 0, 10.18, 0.07, 0, 14.10, 3),
('Suco de limão galego', 100, 0.56, 0, 7.32, 0, 5.26, 0.05, 0, 22.22, 3),
('Limão tahiti', 100, 0.93, 0, 11.08, 1.18, 50.98, 0.17, 1.24, 31.81, 3),
('Maçã argentina com casca', 100, 0.22, 0, 16.58, 2.02, 3.39, 0.05, 1.31, 62.53, 3),
('Maçã fuji com casca', 100, 0.28, 0, 15.15, 1.34, 1.92, 0.09, 0, 55.51, 3),
('Macaúba', 100, 2.08, 0, 13.94, 13.44, 66.53, 0.80, 0.65, 404.28, 3),
('Doce de mamão em caldas drenado', 100, 0.19, 0, 54.00, 1.31, 20.01, 0.10, 2.91, 195.62, 3),
('Mamão formosa', 100, 0.81, 0, 11.55, 1.81, 24.87, 0.23, 3.25, 45.34, 3), 
('Mamão papaia', 100, 0.45, 0, 10.43, 1.04, 22.41, 0.19, 1.63, 40.15, 3),
('Doce de mamão verde em caldas drenado', 100, 0.31, 0, 57.63, 1.23, 12.43, 0.15, 4.74, 209.37, 3),
('Manga haden', 100, 0.40, 0, 16.66, 1.58, 11.65, 0.09, 0.55, 63.50, 3),
('Manga palmer', 100, 0.41, 0, 19.35, 1.63, 11.63, 0.09, 1.86, 77.49, 3),
('Polpa de manga congelada', 100, 0.38, 0, 12.51, 1.07, 7.12, 0.08, 6.73, 48.30, 3),
('Manga tommy atkins', 100, 0.85, 0, 12.77, 2.06, 7.63, 0.08, 0, 50.69, 3),
('Maracujá', 100, 1.98, 0, 12.26, 1.13, 5.39, 0.56, 1.58, 68.43, 3),
('Polpa de maracujá congelada', 100, 0.81, 0, 9.59, 0.50, 4.60, 0.29, 8.09, 38.75, 3),
('Suco de maracujá concentrado envasado', 100, 0.76, 0, 9.63, 0.35, 4.15, 0.34, 21.69, 41.96, 3),
('Melancia', 100,  0.88, 0, 8.13, 0.12, 7.72, 0.22, 0, 32.60, 3),
('Melão', 100, 0.67, 0, 7.52, 0.25, 2.85, 0.23, 11.16, 29.36, 3),
('Mexerica murcote', 100, 0.88, 0, 14.82, 3.07, 33.07, 0.06, 1.16, 57.59, 3),
('Mexerica rio', 100, 0.65, 0, 9.33, 2.73, 17.18, 0.08, 1.82, 36.87, 3),
('Morango', 100, 0.89, 0, 6.81, 1.72, 10.9, 0.32, 0, 30.14, 3),
('Nêspera', 100, 0.30, 0, 11.52, 2.95, 19.68, 0.14, 0, 42.53, 3),
('Pequi', 100, 2.33, 0, 12.97, 19.04, 32.44, 0.27, 0, 204.96, 3),
('Pêra park', 100, 0.23, 0, 16.07, 2.98, 8.71, 0.32, 0.98, 60.58, 3),
('Pêra williams', 100, 0.56, 0, 14.02, 3.01, 8.27, 0.09, 0, 53.30, 3),
('Pêssego aurora', 100, 0.82, 0, 9.32, 1.42, 3.23, 0.22, 0, 36.32, 3),
('Pêssego em caldas enlatado', 100, 0.70, 0, 16.88, 1.01, 4.09, 0.60, 3.20, 63.14, 3),
('Pinha', 100, 1.48, 0, 22.44, 3.35, 20.88, 0.21, 1.33, 88.47, 3),
('Pitanga', 100, 0.92, 0, 10.24, 3.23, 17.87, 0.39, 1.70, 41.41, 3),
('Polpa de pitanga congelada', 100, 0.28, 0, 4.75, 0.73, 7.79, 0.37, 5.02, 19.10, 3),
('Romã', 100, 0.40, 0, 15.10, 0.43, 4.75, 0.25, 0.59, 55.73, 3),
