00ALIMENTOS15-04-2021 00:06:2801;;;;;;;;;;;;
ID_CORPO;ID_ALIMENTO;NOME;PORÇÃO;CALORIAS;COLESTEROL;CARBOIDRATO;FIBRA;CALCIO;FERRO;SODIO;PROTEINA;CATEGORIA_ID
2;62;Brócolis                                     ;100;24,63;0;4,36;3,41;50,77;0,53;2,12;2,13;2
2;63;Cebola                                       ;100;39,42;0;8,85;2,18;14;0,2;0,59;1,71;2
2;64;Cenoura                                      ;100;29,86;0;6,68;2,62;25,61;0,09;7,88;0,84;2
2;65;Chuchu                                       ;100;18,53;0;4,79;1,03;7,82;0,06;1,8;0,41;2
2;66;Coentro                                      ;100;18,25;0;47,95;2,03;37,29;783,81;81,43;20,87;2
2;67;Couve                                        ;100;27,05;0;4,33;3,12;130,86;0,45;6,17;2,87;2
2;68;Couve flor                                   ;100;22,56;0;4,51;2,35;17,82;0,53;3,43;1,9;2
2;69;Espinafre                                    ;100;16,09;0;2,57;2,01;97,5;0,35;17,09;1,99;2
2;70;Farinha de mandioca                          ;100;360,86;0;87,89;6,39;64,87;1,09;1,02;1,55;2
2;71;Fécula de mandioca                           ;100;330,85;0;81,14;0,64;11,89;0,1;2,44;0,52;2
2;72;Feijão                                       ;100;38,72;0;7,75;1,96;14,48;0,82;1,79;4,16;2
2;73;Jiló                                         ;100;27,36;0;6,19;4,82;19,97;0,33;0;1,4;2
2;74;Mandioca                                     ;100;125,35;0;1,55;18,62;0,07;0,9;0;0,57;2
2;75;Mandioca frita                               ;100;300,05;0;50,25;1,87;23,05;0,32;8,93;1,38;2
2;76;Nhoque                                       ;100;180,77;15,07;36,78;1,78;11,42;1,64;7,06;5,85;2
2;77;Palmito                                      ;100;23,19;0;3,15;58,28;0,3;12,5;513,82;1,79;2
2;78;Pão de queijo                                ;100;363,07;67,72;34,24;0,55;102,49;0,27;773,49;5,12;2
2;79;Pepino                                       ;100;9,53;0;2,03;1,12;9,61;0,14;0;0,86;2
2;80;Pimentão amarelo                             ;100;27,92;0;5,96;1,92;9,61;0,41;0;1,22;2
2;81;Pimentão verde                               ;100;21,28;0;4,89;2,56;8,76;0,41;0;1,05;2
2;82;Pimentão vermelho                            ;100;23,28;0;5,46;1,59;6,37;0,33;0;1,03;2
2;83;Polvilho doce                                ;100;351,22;0;86,77;0,23;27,41;0,51;1,57;0,43;2
2;84;Quiabo                                       ;100;29,93;0;6,37;4,55;112,15;0,36;0,89;1,91;2
2;85;Rabanete                                     ;100;13,73;0;2,72;2,19;20,86;0,35;10,99;1,39;2
2;86;Repolho branco                               ;100;17,11;0;3,85;1,89;34,54;0,15;3,64;0,87;2
2;87;Repolho roxo cru                             ;100;30,9;0;7,2;1,9;43,6;0,51;2,3;1,9;2
2;88;Repolho roxo refogado                        ;100;41,77;0;7,56;1,75;42,58;0,46;3,41;1,8;2
2;89;Rucúla crua                                  ;100;13,13;0;2,21;1,74;116,56;0,93;9,41;1,76;2
2;90;Salsa crua                                   ;100;33,42;0;5,7;1,85;179,41;3,18;2,3;3,25;2
2;91;Seleta de legumes enlatada                   ;100;56,53;0;12,66;3,09;16,15;1,06;398,13;3,42;2
2;92;Serralha crua                                ;100;30,39;0;4,94;3,51;126,02;1,26;19,34;2,67;2
2;93;Taioba crua                                  ;100;34,2;0;5,43;4,45;141,08;1,9;1,16;2,89;2
2;94;Tomate com semente cru                       ;100;15,33;0;3,13;1,17;6,94;0,23;1,02;1,09;2
2;95;Extrato de tomate                            ;100;60,93;0;14,95;2,8;29,07;2,09;497,93;2,43;2
2;96;Molho de tomate industrializado              ;100;38,44;0;7,71;3,11;11,72;1,57;418,28;1,38;2
2;97;Purê de tomate                               ;100;27,93;0;6,84;1,02;13,24;1,25;103,93;1,36;2
2;98;Salada de tomate                             ;100;20,54;0;5,11;2,26;6,94;0,29;5,24;0,81;2
2;99;Vagem crua                                   ;100;24,89;0;5,34;2,38;41,1;0,43;0;1,78;2
2;100;Abacate cru                                  ;100;96,15;0;6,03;6,31;7,91;0,2;0;1,23;3
2;101;Abacaxi cru                                  ;100;48,32;0;12,33;0,98;22,43;0,25;0;0,85;3
2;102;Polpa de abacaxi congelada                   ;100;30,59;0;7,78;0,32;13,53;0,35;1,23;0,46;3
2;103;Abiu                                         ;100;62,42;0;14,92;1,69;5,78;0,15;0;0,83;3
2;104;Polpa de açai com xapore de guaraná e glucose;100;110,29;0;21,45;1,72;22,15;0,26;15,09;0,72;3
2;105;Polpa de açãi congelada                      ;100;58,04;0;6,2;2,55;35,18;0,43;0,43;0,79;3
2;106;Acerola crua                                 ;100;33,46;0;7,96;1,51;12,55;0,22;0;0,9;3
2;107;Polpa de acerola congelada                   ;100;21,93;0;5,54;0,7;7,59;0,16;1,28;0,59;3
2;108;Ameixa em caldas enlatada                    ;100;182,84;0;46,82;0,51;13,15;2,15;2,7;0,4;3
2;109;Ameixa crua                                  ;100;52,54;0;13,85;2,43;5,72;0,1;0;0,77;3
2;110;Ameixa em caldas drenada enlatada            ;100;177,35;0;47,65;4,54;39,23;2,69;2,79;1,02;3
2;111;Atemóia crua                                 ;100;96,97;0;25,33;2,13;22,76;0,16;0,78;0,97;3
